date,type,wmean,wmedian,wiqm,frac,stats
2014-12-18,dir-onions-seen,39673,39673,39673,0.00014300,1
2014-12-19,dir-onions-seen,18667,18667,18667,0.00012500,1
2014-12-20,dir-onions-seen,57287,8000,8000,0.00014900,2
2014-12-21,dir-onions-seen,42553,42553,42553,0.00016500,1
2014-12-22,dir-onions-seen,33860,28494,32615,0.00041400,2
2014-12-23,dir-onions-seen,26341,29936,27631,0.00783600,29
2014-12-24,dir-onions-seen,29297,26511,27465,0.00890900,33
2014-12-25,dir-onions-seen,27399,27572,27463,0.01067000,39
2014-12-26,dir-onions-seen,26622,24212,25893,0.01164700,42
2014-12-27,dir-onions-seen,29669,27858,28215,0.01158100,43
2014-12-28,dir-onions-seen,26095,29218,28650,0.01208200,38
2014-12-29,dir-onions-seen,31428,30733,30198,0.01332000,40
2014-12-30,dir-onions-seen,31065,30493,29898,0.01419800,41
2014-12-31,dir-onions-seen,28304,28736,28363,0.01330700,38
2015-01-01,dir-onions-seen,26843,27407,27389,0.01352500,41
2015-01-02,dir-onions-seen,26011,28083,27203,0.01275200,39
2015-01-03,dir-onions-seen,27704,27590,26981,0.01238100,39
2015-01-04,dir-onions-seen,29448,28736,29277,0.01255300,41
2015-01-05,dir-onions-seen,28861,28222,28033,0.01379100,42
2015-01-06,dir-onions-seen,28271,28277,28498,0.01583300,47
2015-01-07,dir-onions-seen,27377,27468,26758,0.01706000,51
2015-01-08,dir-onions-seen,30194,29240,29192,0.01823900,58
2015-01-09,dir-onions-seen,27506,29528,29289,0.01809100,57
2015-01-10,dir-onions-seen,27264,28689,27711,0.01806200,64
2015-01-11,dir-onions-seen,28192,27193,27713,0.01844400,64
2015-01-12,dir-onions-seen,28610,28148,28431,0.01579800,54
2015-01-13,dir-onions-seen,29069,27862,29114,0.01619300,54
2015-01-14,dir-onions-seen,29008,29544,28369,0.01599500,52
2015-01-15,dir-onions-seen,29385,29263,29308,0.01824200,54
2015-01-16,dir-onions-seen,26736,26123,27289,0.01742900,52
2015-01-17,dir-onions-seen,28415,28098,27340,0.01857200,57
2015-01-18,dir-onions-seen,28765,28788,29044,0.01854100,58
2015-01-19,dir-onions-seen,29080,28427,29207,0.01924600,57
2015-01-20,dir-onions-seen,30848,31834,31495,0.01988100,58
2015-01-21,dir-onions-seen,30856,29570,30378,0.02056900,62
2015-01-22,dir-onions-seen,27002,27027,27684,0.02104800,63
2015-01-23,dir-onions-seen,29165,29338,29399,0.02214100,67
2015-01-24,dir-onions-seen,27686,28191,27871,0.02039600,66
2015-01-25,dir-onions-seen,26051,26768,26494,0.01962600,64
2015-01-26,dir-onions-seen,28127,28261,28154,0.01837900,61
2015-01-27,dir-onions-seen,30020,28109,29593,0.01633300,55
2015-01-28,dir-onions-seen,29362,26820,28622,0.00630100,19
2015-01-29,dir-onions-seen,28822,29762,28847,0.00580600,19
2015-01-30,dir-onions-seen,26511,27500,26894,0.00443900,13
2015-01-31,dir-onions-seen,27667,27436,27848,0.00360100,11
2015-02-01,dir-onions-seen,26594,24471,26370,0.00502700,15
2015-02-02,dir-onions-seen,27466,28439,27950,0.00797400,25
2015-02-03,dir-onions-seen,28256,28567,28030,0.01513600,51
2015-02-04,dir-onions-seen,26815,28856,28204,0.01580000,53
2015-02-05,dir-onions-seen,28149,28736,28082,0.01566800,55
2015-02-06,dir-onions-seen,29091,29716,29696,0.01596900,54
2015-02-07,dir-onions-seen,28959,28431,28442,0.01650000,55
2015-02-08,dir-onions-seen,24877,25833,25532,0.01699000,56
2015-02-09,dir-onions-seen,28357,26607,27347,0.01650300,54
2015-02-10,dir-onions-seen,30266,29716,29797,0.01722600,58
2015-02-11,dir-onions-seen,29381,28807,29140,0.01716700,59
2015-02-12,dir-onions-seen,30053,29148,29388,0.01825900,60
2015-02-13,dir-onions-seen,28114,27653,28448,0.02022200,64
2015-02-14,dir-onions-seen,29079,28063,28110,0.01849300,60
2015-02-15,dir-onions-seen,26153,25287,25939,0.01932500,62
2015-02-16,dir-onions-seen,30186,29009,28373,0.01819700,58
2015-02-17,dir-onions-seen,27234,26392,26654,0.01681800,52
2015-02-18,dir-onions-seen,28990,28981,29268,0.01941100,58
2015-02-19,dir-onions-seen,28591,30065,29423,0.01938800,59
2015-02-20,dir-onions-seen,27781,28772,28627,0.01888400,62
2015-02-21,dir-onions-seen,28522,29083,29092,0.01686500,57
2015-02-22,dir-onions-seen,25952,25535,24964,0.01598000,56
2015-02-23,dir-onions-seen,32138,31746,31284,0.01626300,56
2015-02-24,dir-onions-seen,29800,29576,29833,0.01658000,56
2015-02-25,dir-onions-seen,31087,30297,30566,0.01571100,55
2015-02-26,dir-onions-seen,31898,31895,31362,0.01637600,49
2015-02-27,dir-onions-seen,31921,30797,30528,0.01675000,52
2015-02-28,dir-onions-seen,29236,30128,29795,0.01523200,46
2015-03-01,dir-onions-seen,27401,27572,27656,0.01585200,49
2015-03-02,dir-onions-seen,31717,30271,30348,0.01691600,50
2015-03-03,dir-onions-seen,28223,30427,28980,0.01784600,53
2015-03-04,dir-onions-seen,28597,28875,28917,0.01875300,57
2015-03-05,dir-onions-seen,31064,31111,31464,0.01884500,58
2015-03-06,dir-onions-seen,30372,27596,28061,0.01918400,58
2015-03-07,dir-onions-seen,29996,28437,29136,0.01915400,57
2015-03-08,dir-onions-seen,27251,27919,27364,0.02021100,56
2015-03-09,dir-onions-seen,26126,27113,27036,0.01945700,55
2015-03-10,dir-onions-seen,31243,29519,29312,0.02111300,60
2015-03-11,dir-onions-seen,28994,27717,28009,0.01692300,49
2015-03-12,dir-onions-seen,30110,29018,29467,0.01666100,45
2015-03-13,dir-onions-seen,27731,27947,28370,0.01604700,43
2015-03-14,dir-onions-seen,28201,28181,27762,0.01682500,45
2015-03-15,dir-onions-seen,27564,29869,28182,0.02030300,55
2015-03-16,dir-onions-seen,28215,28095,28240,0.02074600,60
2015-03-17,dir-onions-seen,28136,29018,28760,0.01974000,58
2015-03-18,dir-onions-seen,30682,29456,29886,0.02042700,60
2015-03-19,dir-onions-seen,28699,30069,29515,0.01742300,52
2015-03-20,dir-onions-seen,31140,31787,32142,0.01751100,52
2015-03-21,dir-onions-seen,31264,29900,30555,0.01943600,51
2015-03-22,dir-onions-seen,29224,29529,28779,0.02128400,52
2015-03-23,dir-onions-seen,28929,29519,29392,0.01966500,49
2015-03-24,dir-onions-seen,29282,29141,28992,0.02464000,60
2015-03-25,dir-onions-seen,28108,27747,27746,0.01942700,52
2015-03-26,dir-onions-seen,28829,30656,29781,0.01989700,51
2015-03-27,dir-onions-seen,31344,30135,30270,0.01860000,49
2015-03-28,dir-onions-seen,30928,31273,31386,0.01643300,55
2015-03-29,dir-onions-seen,30891,30496,30629,0.01968400,68
2015-03-30,dir-onions-seen,28941,32335,30886,0.01929200,69
2015-03-31,dir-onions-seen,33434,33535,33695,0.01756800,66
2015-04-01,dir-onions-seen,34127,32622,32800,0.01771100,63
2015-04-02,dir-onions-seen,33254,31293,32033,0.01776600,64
2015-04-03,dir-onions-seen,31045,28874,29980,0.01721400,61
2015-04-04,dir-onions-seen,31659,31550,31118,0.01674100,62
2015-04-05,dir-onions-seen,28949,28090,28371,0.01776200,68
2015-04-06,dir-onions-seen,31795,30303,30377,0.01639800,64
2015-04-07,dir-onions-seen,29744,33890,31943,0.01608000,59
2015-04-08,dir-onions-seen,31128,31131,30800,0.01965000,61
2015-04-09,dir-onions-seen,31577,32362,31472,0.02088000,60
2015-04-10,dir-onions-seen,30023,29921,29501,0.01784500,51
2015-04-11,dir-onions-seen,32755,31208,31502,0.01887000,58
2015-04-12,dir-onions-seen,29304,29177,29316,0.01990700,66
2015-04-13,dir-onions-seen,30439,30016,29989,0.02086400,71
2015-04-14,dir-onions-seen,27949,30544,30652,0.01945300,75
2015-04-15,dir-onions-seen,25715,27559,26606,0.01773400,78
2015-04-16,dir-onions-seen,25220,26860,25472,0.01393100,66
2015-04-17,dir-onions-seen,22961,24087,23327,0.01406200,70
2015-04-18,dir-onions-seen,25466,25508,26159,0.01346900,67
2015-04-19,dir-onions-seen,20778,24320,24465,0.01388900,68
